sample_idx,feature,weight
0,user_bias > 3.80,-1.3881848169173194
0,3.58 < cf_score <= 3.86,0.6588683430103102
0,popularity > 3.92,0.5668618637700551
0,cbf_score > 0.61,0.06606374766281495
1,cf_score <= 3.30,-2.3355418195130953
1,user_bias <= 3.25,1.5606443359386122
1,popularity > 3.92,0.580916489812302
1,0.38 < cbf_score <= 0.49,-0.007379783029582562
2,popularity > 3.92,0.587063667933744
2,3.30 < cf_score <= 3.58,-0.3594140753252145
2,3.25 < user_bias <= 3.51,0.21406131499705602
2,0.49 < cbf_score <= 0.61,0.02245659503956617
